Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
,Nigeria,9.082,8.6753,1/22/20,0,0,0.0
,Nigeria,9.082,8.6753,1/23/20,0,0,0.0
,Nigeria,9.082,8.6753,1/24/20,0,0,0.0
,Nigeria,9.082,8.6753,1/25/20,0,0,0.0
,Nigeria,9.082,8.6753,1/26/20,0,0,0.0
,Nigeria,9.082,8.6753,1/27/20,0,0,0.0
,Nigeria,9.082,8.6753,1/28/20,0,0,0.0
,Nigeria,9.082,8.6753,1/29/20,0,0,0.0
,Nigeria,9.082,8.6753,1/30/20,0,0,0.0
,Nigeria,9.082,8.6753,1/31/20,0,0,0.0
,Nigeria,9.082,8.6753,2/1/20,0,0,0.0
,Nigeria,9.082,8.6753,2/2/20,0,0,0.0
,Nigeria,9.082,8.6753,2/3/20,0,0,0.0
,Nigeria,9.082,8.6753,2/4/20,0,0,0.0
,Nigeria,9.082,8.6753,2/5/20,0,0,0.0
,Nigeria,9.082,8.6753,2/6/20,0,0,1.0
,Nigeria,9.082,8.6753,2/7/20,0,0,0.0
,Nigeria,9.082,8.6753,2/8/20,0,0,0.0
,Nigeria,9.082,8.6753,2/9/20,0,0,0.0
,Nigeria,9.082,8.6753,2/10/20,0,0,0.0
,Nigeria,9.082,8.6753,2/11/20,0,0,0.0
,Nigeria,9.082,8.6753,2/12/20,0,0,0.0
,Nigeria,9.082,8.6753,2/13/20,0,0,0.0
,Nigeria,9.082,8.6753,2/14/20,0,0,0.0
,Nigeria,9.082,8.6753,2/15/20,0,0,4.0
,Nigeria,9.082,8.6753,2/16/20,0,0,1.0
,Nigeria,9.082,8.6753,2/17/20,0,0,0.0
,Nigeria,9.082,8.6753,2/18/20,0,0,637.0
,Nigeria,9.082,8.6753,2/19/20,0,0,211.0
,Nigeria,9.082,8.6753,2/20/20,0,0,1.0
,Nigeria,9.082,8.6753,2/21/20,0,0,0.0
,Nigeria,9.082,8.6753,2/22/20,0,0,0.0
,Nigeria,9.082,8.6753,2/23/20,0,0,0.0
,Nigeria,9.082,8.6753,2/24/20,0,0,0.0
,Nigeria,9.082,8.6753,2/25/20,0,0,0.0
,Nigeria,9.082,8.6753,2/26/20,0,0,0.0
,Nigeria,9.082,8.6753,2/27/20,0,0,0.0
,Nigeria,9.082,8.6753,2/28/20,1,0,0.0
,Nigeria,9.082,8.6753,2/29/20,1,0,0.0
,Nigeria,9.082,8.6753,3/1/20,1,0,0.0
,Nigeria,9.082,8.6753,3/2/20,1,0,0.0
,Nigeria,9.082,8.6753,3/3/20,1,0,0.0
,Nigeria,9.082,8.6753,3/4/20,1,0,8.0
,Nigeria,9.082,8.6753,3/5/20,1,0,0.0
,Nigeria,9.082,8.6753,3/6/20,1,0,0.0
,Nigeria,9.082,8.6753,3/7/20,1,0,47743.0
,Nigeria,9.082,8.6753,3/8/20,1,0,488.0
,Nigeria,9.082,8.6753,3/9/20,2,0,0.0
,Nigeria,9.082,8.6753,3/10/20,2,0,0.0
,Nigeria,9.082,8.6753,3/11/20,2,0,0.0
,Nigeria,9.082,8.6753,3/12/20,2,0,1.0
,Nigeria,9.082,8.6753,3/13/20,2,0,1137.0
,Nigeria,9.082,8.6753,3/14/20,2,0,2.0
,Nigeria,9.082,8.6753,3/15/20,2,0,0.0
,Nigeria,9.082,8.6753,3/16/20,2,0,8.0
,Nigeria,9.082,8.6753,3/17/20,3,0,0.0
,Nigeria,9.082,8.6753,3/18/20,8,0,0.0
,Nigeria,9.082,8.6753,3/19/20,8,0,0.0
,Nigeria,9.082,8.6753,3/20/20,12,0,0.0
,Nigeria,9.082,8.6753,3/21/20,22,0,0.0
,Nigeria,9.082,8.6753,3/22/20,30,0,3.0
,Nigeria,9.082,8.6753,3/23/20,40,1,0.0
,Nigeria,9.082,8.6753,3/24/20,44,1,410.0
,Nigeria,9.082,8.6753,3/25/20,51,1,74.0
,Nigeria,9.082,8.6753,3/26/20,65,1,1.0
,Nigeria,9.082,8.6753,3/27/20,70,1,74.0
,Nigeria,9.082,8.6753,3/28/20,89,1,0.0
,Nigeria,9.082,8.6753,3/29/20,111,1,26.0
,Nigeria,9.082,8.6753,3/30/20,131,2,192.0
,Nigeria,9.082,8.6753,3/31/20,135,2,9.0
,Nigeria,9.082,8.6753,4/1/20,174,2,7.0
,Nigeria,9.082,8.6753,4/2/20,184,2,176.0
,Nigeria,9.082,8.6753,4/3/20,210,4,184.0
,Nigeria,9.082,8.6753,4/4/20,214,4,16.0
,Nigeria,9.082,8.6753,4/5/20,232,5,0.0
,Nigeria,9.082,8.6753,4/6/20,238,5,344.0
,Nigeria,9.082,8.6753,4/7/20,254,6,0.0
,Nigeria,9.082,8.6753,4/8/20,276,6,232.0
,Nigeria,9.082,8.6753,4/9/20,288,7,251.0
,Nigeria,9.082,8.6753,4/10/20,305,7,14026.0
,Nigeria,9.082,8.6753,4/11/20,318,10,333.0
,Nigeria,9.082,8.6753,4/12/20,323,10,936.0
,Nigeria,9.082,8.6753,4/13/20,343,10,177.0
,Nigeria,9.082,8.6753,4/14/20,373,11,4141.0
,Nigeria,9.082,8.6753,4/15/20,407,12,69.0
,Nigeria,9.082,8.6753,4/16/20,442,13,99.0
