Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered
Alberta,Canada,53.9333,-116.5765,1/22/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/22/20,0,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/22/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/22/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/22/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/22/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/22/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/22/20,0,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/22/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/22/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/22/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/22/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/22/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,1/22/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/23/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/23/20,0,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/23/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/23/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/23/20,0,0,28.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/23/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/23/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/23/20,0,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/23/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/23/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/23/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/23/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/23/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,1/23/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/24/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/24/20,0,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/24/20,0,0,1.0
Manitoba,Canada,53.7609,-98.8139,1/24/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/24/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/24/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/24/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/24/20,0,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/24/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/24/20,0,0,1.0
Saskatchewan,Canada,52.9399,-106.4509,1/24/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/24/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/24/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,1/24/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/25/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/25/20,0,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/25/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/25/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/25/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/25/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/25/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/25/20,0,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/25/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/25/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/25/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/25/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/25/20,0,0,42.0
Yukon,Canada,64.2823,-135.0,1/25/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/26/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/26/20,0,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/26/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/26/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/26/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/26/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/26/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/26/20,1,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/26/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/26/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/26/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/26/20,0,0,45.0
Northwest Territories,Canada,64.8255,-124.8457,1/26/20,0,0,0.0
Yukon,Canada,64.2823,-135.0,1/26/20,0,0,0.0
Alberta,Canada,53.9333,-116.5765,1/27/20,0,0,0.0
British Columbia,Canada,49.2827,-123.1207,1/27/20,0,0,0.0
Grand Princess,Canada,37.6489,-122.6655,1/27/20,0,0,0.0
Manitoba,Canada,53.7609,-98.8139,1/27/20,0,0,0.0
New Brunswick,Canada,46.5653,-66.4619,1/27/20,0,0,0.0
Newfoundland and Labrador,Canada,53.1355,-57.6604,1/27/20,0,0,0.0
Nova Scotia,Canada,44.682,-63.7443,1/27/20,0,0,0.0
Ontario,Canada,51.2538,-85.3232,1/27/20,1,0,0.0
Prince Edward Island,Canada,46.5107,-63.4168,1/27/20,0,0,0.0
Quebec,Canada,52.9399,-73.5491,1/27/20,0,0,0.0
Saskatchewan,Canada,52.9399,-106.4509,1/27/20,0,0,0.0
Diamond Princess,Canada,0.0,0.0,1/27/20,0,0,0.0
Northwest Territories,Canada,64.8255,-124.8457,1/27/20,0,0,0.0
